name,category
Fusion,Cuisine
Italian,Cuisine
French,Cuisine
Asian Fusion,Cuisine
American,Cuisine
Mediterranean,Cuisine
Mexican,Cuisine
Indian,Cuisine
Japanese,Cuisine
Chinese,Cuisine
Thai,Cuisine
Korean,Cuisine
Vietnamese,Cuisine
Greek,Cuisine
Spanish,Cuisine
Lebanese,Cuisine
Moroccan,Cuisine
Turkish,Cuisine
Brazilian,Cuisine
Peruvian,Cuisine
Argentine,Cuisine
Contemporary,Cuisine
Farm-to-Table,Cuisine
Fusion,Cuisine
Seafood,Cuisine
Middle Eastern,Cuisine
Tappas,Cuisine
Fresh,Style
Family Style,Style
Wine Bar,Style
City Views,Style
Cliffside,Style
Underground,Style
Artistic,Style
Fine Dining,Style
Seafood,Style
Industrial,Style
Creative,Style
Traditional,Style
Historic,Style
Seasonal,Style
Romantic,Style
Rooftop,Style
Coastal,Style
Intimate,Style
Waterfront,Style
Beachfront,Style
Private Club,Style
Luxury,Style
Sophisticated,Style
Fresh Cuisine,Style
Garden Dining,Style
Eclectic,Style
Classic,Style
Elegant,Style
Casual,Style
Yacht Club,Style
Ocean Views,Style
Beachside,Style
Garden,Style
Sunset Views,Style
Elevated,Style
Panoramic,Style
Nautical,Style
Contemporary,Style
Garden,Style
Music,Style
Trendy,Style
Sports,Style
Dive,Style
Italian,Style
Modern,Style
Cafe,Style
