venue_external_id,sort_order,alt_text,url
0012f332-bf34-4ccd-b37e-2f8d324f00df,,The warmly lit open kitchen and counter seating at the rear of Lodi.,https://cdn.sanity.io/images/h20inf57/production/1ec8368a482ef9c4b4c23452e05c368cd7bbbeb5-2999x1749.jpg
0012f332-bf34-4ccd-b37e-2f8d324f00df,0,Umbrella-topped tables line the exterior of Lodi at Rockefeller Center.,https://cdn.sanity.io/images/h20inf57/production/5dfb73bde9d714e097323c8e9cdcb6e048f00507-1200x800.jpg
0012f332-bf34-4ccd-b37e-2f8d324f00df,1,The warmly lit open kitchen and counter seating at the rear of Lodi.,https://cdn.sanity.io/images/h20inf57/production/1ec8368a482ef9c4b4c23452e05c368cd7bbbeb5-2999x1749.jpg
0012f332-bf34-4ccd-b37e-2f8d324f00df,2,Lodi spread of dishes on the bar,https://cdn.sanity.io/images/h20inf57/production/7c78cff4f133450b8c46c88121da0ed8165f49a8-6000x4000.jpg
0012f332-bf34-4ccd-b37e-2f8d324f00df,3,Fresh breads and pastries from the in-house bakery at Lodi.,https://cdn.sanity.io/images/h20inf57/production/c2b52400e9da7976ce39d96dc4fdecbc4e4b93c3-2000x1050.png
0012f332-bf34-4ccd-b37e-2f8d324f00df,0,torta on the bar at lodi,https://cdn.sanity.io/images/h20inf57/production/55e49070401a70bae2b74ef5505337241e91ca51-1475x1491.jpg
0012f332-bf34-4ccd-b37e-2f8d324f00df,1,long table set for an event at lodi,https://cdn.sanity.io/images/h20inf57/production/f327dc56bfe487eb87637441d7322eb772c07f9a-1440x1799.jpg
00293e19-399d-4e55-bba9-bccb10865e6b,,mozza pdr,https://cdn.sanity.io/images/h20inf57/production/9e2ea151ee8c76e0050b1ad842101c4fd6297cc4-586x391.jpg
00293e19-399d-4e55-bba9-bccb10865e6b,0,mozza wine room,https://cdn.sanity.io/images/h20inf57/production/9e2ea151ee8c76e0050b1ad842101c4fd6297cc4-586x391.jpg
00293e19-399d-4e55-bba9-bccb10865e6b,1,mozza pdr,https://cdn.sanity.io/images/h20inf57/production/d20594eae3bb6fd96a2c2849df0e6881b3b5ebbe-1920x1080.png
02d45b7c-a14b-44e0-b66e-9420b223d2d0,,Cervantes Room El Quijote,https://cdn.sanity.io/images/h20inf57/production/10d500bf7c143f3404d3b28e2e54cf2797f0b400-1416x1920.jpg
02d45b7c-a14b-44e0-b66e-9420b223d2d0,0,The Cervantes Room at El Quijote,https://cdn.sanity.io/images/h20inf57/production/293de60b76dfb55b8254b20c25c905516cd3c466-3470x5158.jpg
02d45b7c-a14b-44e0-b66e-9420b223d2d0,1,El Quijote Bar,https://cdn.sanity.io/images/h20inf57/production/8ee29c318d9a050b4643d45a6627886c60607483-1920x1280.jpg
02d45b7c-a14b-44e0-b66e-9420b223d2d0,2,El Quijote Main Room,https://cdn.sanity.io/images/h20inf57/production/c32580e2047860277e3e03c042fda4a9b7e66212-1920x1280.jpg
02d45b7c-a14b-44e0-b66e-9420b223d2d0,0,El Quijote Main dining room,https://cdn.sanity.io/images/h20inf57/production/a0868406cc40208aa6d227e2a73356b00a70fb24-1080x1350.jpg
02d45b7c-a14b-44e0-b66e-9420b223d2d0,1,El Quijote sign,https://cdn.sanity.io/images/h20inf57/production/e2edbe2c2f15c4e4c9362d1010ae2a46d8604f5c-1080x1350.jpg
06779c95-2f63-4b1e-a705-1cb796dc0df0,,Sofreh Private Dining Room,https://cdn.sanity.io/images/h20inf57/production/0ad80b01f6cb691337f28f038e151fa074771102-900x600.jpg
06779c95-2f63-4b1e-a705-1cb796dc0df0,0,Private Dining Area with Florals at Center of a Long Table,https://cdn.sanity.io/images/h20inf57/production/0ad80b01f6cb691337f28f038e151fa074771102-900x600.jpg
06779c95-2f63-4b1e-a705-1cb796dc0df0,1,Private Dining Area with Warm String Lights,https://cdn.sanity.io/images/h20inf57/production/e12b64b3b170228a0afda9d2db0e1fe614190e81-900x600.jpg
06779c95-2f63-4b1e-a705-1cb796dc0df0,2,Sofreh Food Served Family Style,https://cdn.sanity.io/images/h20inf57/production/c94302f503b60fc4b1044ce2b816ca24d4d0a7a6-1600x2400.jpg
06ffc9d6-81c8-4140-b5b3-0feb8635397e,,Interior Shot of Jongro BBQ,https://cdn.sanity.io/images/h20inf57/production/19316276da32e17a27c7cb5319041cebdc48a30c-2598x1788.png
06ffc9d6-81c8-4140-b5b3-0feb8635397e,0,Chef at Jongro BBQ,https://cdn.sanity.io/images/h20inf57/production/87dce2a133a747182ec219ed6a043df8795c71e7-1620x1812.png
06ffc9d6-81c8-4140-b5b3-0feb8635397e,1,Overheard Grilling Shot,https://cdn.sanity.io/images/h20inf57/production/5ea6bb4ec159f28563355130bbe9f230ea398337-2118x1200.png
06ffc9d6-81c8-4140-b5b3-0feb8635397e,2,Interior of Jong Ro,https://cdn.sanity.io/images/h20inf57/production/19316276da32e17a27c7cb5319041cebdc48a30c-2598x1788.png
06ffc9d6-81c8-4140-b5b3-0feb8635397e,3,Close up Katsu Chicken Shot,https://cdn.sanity.io/images/h20inf57/production/096fc0f84f936c4f64c27521a3e05aaa61359c76-978x972.png
07c61f03-548f-47be-9298-2811a7eeb891,,Bar at Manero's on Mulberry,https://cdn.sanity.io/images/h20inf57/production/3b34ec529b7b1a5c9b115687e06ac54e5385d9bc-6720x4480.jpg
07c61f03-548f-47be-9298-2811a7eeb891,0,Manero's on Mulberry Bar ,https://cdn.sanity.io/images/h20inf57/production/3b34ec529b7b1a5c9b115687e06ac54e5385d9bc-6720x4480.jpg
07c61f03-548f-47be-9298-2811a7eeb891,1,Decor Details at Manero's on Mulberry,https://cdn.sanity.io/images/h20inf57/production/7cd5691bc7abbc196119919fe759a2f801e85206-2720x1814.webp
07c61f03-548f-47be-9298-2811a7eeb891,2,Corner Table at Manero's on Mulberry,https://cdn.sanity.io/images/h20inf57/production/f76ac7a7b88cc274c949888a2e68087995056964-2122x1410.png
