vendor_external_id,contact_external_id
68,491
129,493
40,494
97,495
71,496
93,497
13,498
15,499
16,500
123,501
17,502
18,503
19,504
21,505
23,506
24,507
25,508
26,509
27,510
28,511
29,512
32,513
33,514
34,515
35,516
30,517
37,518
38,519
69,520
39,521
41,522
44,523
45,524
46,525
47,526
48,527
49,528
51,529
52,530
53,531
54,532
55,533
56,534
57,535
58,536
59,537
59,538
62,538
61,539
59,540
62,540
63,541
64,542
66,544
67,545
70,546
72,547
73,548
74,549
75,550
76,551
77,552
78,553
79,554
80,555
81,556
82,557
83,558
84,559
85,560
86,561
87,562
89,563
90,564
92,565
94,566
95,567
96,568
98,569
10,570
101,571
102,572
103,573
104,574
106,575
107,576
108,577
109,578
8,578
110,579
5,580
112,581
113,582
114,583
117,584
118,585
119,586
120,587
1,588
88,588
2,589
3,590
4,591
5,592
9,593
10,594
11,595
12,596
16,597
122,598
124,599
125,600
126,601
127,602
128,603
130,604
36,605
6,606
109,607
8,607
105,608
31,609
7,610
14,611
131,613
43,614
20,615
22,616
50,617
1,618
88,618
91,619
115,620
107,621
100,622
135,623
135,624
135,625
133,5
