id,status_legacy,project_date,started_on,won_on,last_contact_on,proposal_sent_on,concept,services_array,budget_notes,location_text,next_steps,budget_low,budget_high,status
002e5b4b-907e-4fa2-a08a-a1b5ee535688,In Progress,Retainer - 4/1/25 - 3/31/26,1/22/2025,3/7/2025,,1/31/2025,Marketing Initative for N/A Brands,"[""Liquor Cabinet Program""]",,TBC,"GD updating Liquor Cabinet Deck and will send over to them. GD, 1/29",,,Closed Won
005511ab-7e17-4a40-8e00-53ebd6c7bcdc,Warm Lead,May/June 2024,4/1/2024,,4/1/2024,,Coach Coffee Shop,"[""Executive Production""]",,New York,"Timeline to program their chef partners was super agressive. We countered their timeline, but they passed because our fee was too high. - 4/22/24",,,Initial Contact
006d85ab-4120-40dc-b858-811156c3bf70,Canceled,12/xx/2025,6/25/2025,,11/7/2025,,Wrensilva sending a vinyl console to DWR on Melrose in LA. Looking for help concepting + producing a worthwhile event to help draw design/creative crowd,"[""Consulting""]",Not disclosed,Los Angeles,"Due to short lead time, client cancelled this moment. Hoping to find future ways of working together. SY 11/07",,,Initial Contact
00d46b47-0b63-4461-b6ed-46a20e7e4c67,Warm Lead,,1/15/2025,,1/15/2025,,TBC,"[""Gifting""]",,TBC,"Sue got connected and we are scheduling a meeting in January, GD, 12/17",,,Initial Contact
016bb366-5b89-4991-8b02-3972604179e0,Complete,9/5/24,,,,,Fall Fashion Week: Madewell x Alexa Chung Collab Launch Dinner,"[""Executive Production""]",,New York,Intake Notes here ,,,Closed Won
02cd00e5-d20f-482b-8cfc-5dc11e60ccb3,Warm Lead,,7/1/2024,,7/1/2024,,TBD,"[""Executive Production""]",,TBD,"Sue reached out to team for 2024 events, no response from client yet - 7.2.24",,,Initial Contact
02f712a3-b8a9-4aff-80c2-53b9b94b6a2a,Complete,6/6/24,,,,,Golden Event,"[""Executive Production""]",,Los Angeles,Intake Notes here  ,,,Closed Won
0352c507-7455-4f59-b325-75e443f2bd06,Complete,02/10/2026 + 02/13/2026,10/24/2025,11/25/2025,1/16/2026,11/25/2025,Madewell x Substack Summit + Meet the Maker Event,"[""Executive Production""]",$255k all in,NY + secondary markets,Onboarding happend 11/25. Proposal due for 3rd week of December. SY 12/03,250000,250000,Closed Won
041b31d5-3316-4bd0-a0f4-14ebca06a45a,Warm Lead,,1/13/2025,,1/13/2025,,B2B Events,"[""Executive Production""]",,"New York, Austin, Miami","Intake here - they are interested in production + RSVP Management, Gaby chatting scope and fees. 10/22",,,Initial Contact
042eafd7-de62-4cbe-a874-149abe7217c1,Prospecting,02/XX/2026,12/4/2025,,12/11/2025,,NYFW Gifting suite,"[""Event Concepting"", ""Executive Production""]",Not disclosed,USA,NB had intake call. Awaiting client brief. SY 12/17,,,Initial Contact
