name,industry,extermal_id
03 Media,Book Launch,CB-001
12 Matcha,Food & Beverage,CB-002
99 Ranch,Supermarket,CB-003
A24,Entertainment,CB-004
AERIN Beauty,Beauty,CB-005
Aesop,Home Goods,CB-006
Aether Apparel,Fashion,CB-007
Air Inc,Tech,CB-008
Airbnb,Tech,CB-009
Alexander McQueen,Fashion,CB-010
Alexander Wang,Fashion,CB-011
ALIGNE,Fashion,CB-012
Amazon,Entertainment,CB-013
Andrew Zuckerman Studio,Art,CB-014
andSons Chocolatiers (Neutra VDL House),Food,CB-015
Anheuser-Busch,Beverage,CB-016
Anthropologie,Fashion,CB-017
APC,Fashion,CB-018
Aplós,Beverage,CB-019
Arc'teryx,Fashion,CB-020
Arcade,Design,CB-021
Aritzia,Fashion,CB-022
Artemest,Furniture,CB-023
Aruba Tourism Authority,Travel,CB-024
Auberge Collection,Food,CB-025
Audemar Piguet,Luxury,CB-026
Audi,Automotive,CB-027
August Hospitality Group,Hospitality,CB-028
Avondale Equities,Real Estate,CB-029
Away,Travel,CB-030
Balmuda,Home Goods,CB-032
Banana Republic,Fashion,CB-033
Belmont Park Village,Retail,CB-034
bhn Wine,Beverage,CB-035
Black Seed Bagels,Food,CB-036
Blackbird,Tech,CB-037
Blank Street Coffee,Coffee,CB-038
Bobbie,Baby,CB-039
Boden,Fashion,CB-040
Bottega Venetta,Fashion,CB-041
Boutique,Tech,CB-042
Brand Love Lab,Agency,CB-043
Brigaid,Food,CB-044
Brunello Cucinelli,Fashion,CB-045
BYGB Hospitality Studio,Hospitality,CB-046
Canyon Ranch,Hotels,CB-047
Cardenxe Sotol,Beverage,CB-048
Carpenter Hotels,Hotels,CB-049
Carpenters Workshop Gallery,Art,CB-050
Cartier,Luxury,CB-051
Casa Cruz,Hospitality,CB-052
Casamata,Hospitality,CB-053
Casarré,Restaurants,CB-054
Champagne Pommery,Beverage,CB-055
Charles & Ray Eames Foundation,Furniture,CB-056
CHASA,Design,CB-057
Chef's Table,Television,CB-058
Chelsea Simunovich Consulting,Public Relations,CB-059
Chez Margaux,Hospitality,CB-060
Chobani,Food,CB-061
Chris Shao Studio,Design,CB-062
Clqssique,Agency,CB-063
Coach,Fashion,CB-064
Colette,Agency,CB-065
Constellation Culinary Group,Hospitality,CB-066
CookUnity,Tech,CB-067
Cooper Hewitt,Design,CB-068
Coterie,Baby,CB-069
Coterie,Baby,CB-070
