deal.external_id,contact.external_id
1,1
2,72
3,263
4,231
5,291
6,244
7,120
8,204
9,163
10,68
11,57
12,181
13,10
14,71
15,332
16,104
17,161
18,213
19,43
20,43
21,95
22,121
23,333
24,319
25,23
26,311
27,8
28,157
29,340
30,14
31,111
32,314
33,179
34,48
35,307
36,100
37,115
38,277
39,255
40,255
41,169
42,200
43,128
44,185
45,144
46,220
47,203
48,58
49,309
50,206
51,314
52,52
53,52
54,52
55,52
56,52
57,52
58,52
59,52
60,299
61,313
62,94
63,236
64,2
65,2
66,109
67,108
68,178
69,165
70,143
71,192
72,46
73,255
74,255
75,184
76,133
77,322
78,255
79,255
80,321
81,255
82,255
83,255
84,269
85,31
86,137
87,271
88,255
89,83
90,101
91,267
92,286
93,278
94,172
95,214
96,252
97,255
98,173
99,205
100,334
101,92
102,63
103,156
104,5
105,167
106,160
107,70
108,276
109,170
110,316
111,342
112,313
113,222
114,130
115,17
116,208
117,236
118,295
119,132
120,88
121,88
122,308
123,119
124,334
125,334
126,107
127,243
128,42
129,280
130,320
131,249
132,255
133,253
134,119
135,234
136,197
137,301
138,25
139,301
140,272
141,310
142,215
143,255
144,52
145,119
146,220
147,203
148,47
149,58
150,215
151,166
152,225
153,298
154,66
155,275
156,52
157,22
158,81
159,52
160,228
161,228
162,52
163,338
164,
165,
166,290
166,337
167,296
168,40
169,255
170,187
171,139
172,195
173,328
174,247
175,297
176,52
177,119
178,301
179,248
180,127
181,186
182,327
183,29
184,174
185,13
186,81
187,70
188,58
189,302
190,97
191,110
192,308
193,149
194,207
195,194
196,52
197,233
198,285
199,119
200,39
201,342
202,45
203,105
204,30
205,165
206,128
207,219
208,61
209,309
210,100
211,140
212,199
213,35
214,52
215,101
216,336
217,145
218,115
219,15
220,15
221,339
222,191
223,311
224,287
225,323
226,289
227,37
228,55
229,27
230,125
231,315
232,9
233,103
234,67
235,283
236,264
237,256
238,209
239,203
240,202
241,190
242,49
242,123
243,183
244,44
245,262
246,11
247,126
248,65
249,3
250,335
251,326
252,284
253,282
254,279
255,258
256,241
257,218
258,200
259,112
260,56
261,12
262,329
263,312
264,227
265,93
266,87
267,212
268,245
269,
270,314
271,218
272,240
273,318
274,250
275,260
276,238
277,232
278,177
279,148
280,117
281,7
282,135
283,48
284,145
285,306
286,303
287,158
288,217
289,154
290,134
291,78
292,67
293,122
294,21
295,36
296,158
297,84
298,185
299,119
299,211
300,80
301,118
302,151
303,119
303,211
304,16
305,48
306,271
307,315
308,300
309,
310,34
310,226
311,185
312,148
313,119
314,79
315,288
316,4
317,
318,301
319,281
320,24
321,343
322,237
323,235
324,188
325,124
326,98
327,90
328,86
328,292
329,76
330,74
331,60
332,54
333,50
334,32
335,19
336,18
337,162
338,305
339,268
340,261
341,101
342,304
343,
344,
345,230
346,182
347,146
348,116
349,106
350,341
351,59
352,41
353,33
354,189
355,257
356,267
357,270
358,251
359,201
360,196
361,150
362,164
363,113
364,53
365,38
366,294
367,89
368,221
369,52
370,216
370,265
371,239
372,28
372,325
373,169
374,69
375,229
376,155
377,138
378,315
379,206
380,
381,12
382,295
383,99
384,147
385,59
386,242
387,301
388,306
389,334
390,274
391,215
392,142
393,119
394,82
395,296
396,91
397,52
398,102
399,136
400,255
401,171
402,171
403,259
404,131
404,141
405,52
405,193
406,317
406,45
407,52
407,193
408,293
409,176
410,64
411,206
412,255
413,52
414,119
415,25
416,75
417,340
418,173
419,331
420,314
421,314
422,317
423,317
424,295
425,273
426,259
427,255
428,255
429,255
430,224
431,223
432,215
433,211
434,198
435,52
435,193
436,52
436,193
437,52
437,193
438,52
438,193
439,52
439,193
440,185
441,175
442,168
443,159
444,153
445,131
445,141
446,131
446,141
447,131
447,141
448,131
448,141
449,131
449,141
450,152
451,119
451,211
452,114
453,96
454,96
455,73
456,73
457,71
458,52
459,52
460,26
461,20
462,16
463,6
464,331
465,129
466,324
467,301
468,301
469,255
470,228
471,180
472,62
473,77
473,255
474,258
475,246
476,74
477,255
478,131
478,141
479,85
