external_id,location_text
1,USA
2,USA
3,USA
4,USA
5,USA
6,USA
7,USA
8,USA
9,USA
10,USA
11,USA
12,USA
13,NY
14,New York
15,NY
16,NY
17,NY
18,New York
19,New York
20,Beverly Hills
21,TBC
22,NY
23,Manhattan
24,NY
25,NY + secondary markets
26,TBC
27,California
28,NY
29,NYC
30,New York
31,TBC
32,New York
33,NY
34,New York
35,TBC
36,New York
37,"New York, London, Paris, Dallas (TBD)"
38,TBC
39,"TBC: NYC,
LA, Chicago, DC, Miami,
Atlanta or SF/Napa"
40,"NY, LA, CHI, ATL, DC & MIA"
41,TBC
42,TBC
43,New York
44,TBC
45,TBC
46,TBC
47,"Vancouver, BC"
48,New York
49,New York
50,Miami
51,New York
52,New York
53,Palm Springs
54,US
55,New York
56,New York
57,New York
58,New York
59,US
60,TBC
61,TBC
62,TBC
63,TBC
64,NY
65,NY
66,New York
67,Positano
68,NY
69,TBC
70,TBC
71,San Francisco
72,USA
73,Aspen
74,"NY, LA, CHI, ATL, DC & MIA"
75,Upstate NY
76,NYC
77,NY
78,TBC
79,TBC
80,New York
81,TBC
82,"NY, LA, CHI, ATL, DC & MIA"
83,TBC
84,USA
85,USA
86,Los Angeles
87,New York
88,NY
89,NY
90,USA
91,NY
92,"NYC, LA(non-CoC Owned), UK"
93,NY
94,NY
95,Dominican Republic
96,"Chicago, New York, Los Angeles, San Francisco Bay Area, and possibly London."
97,"NY, MIA"
98,New York
99,NY
100,LA
101,First event: Miami
102,NY
103,NY
104,NYC
105,NY
106,NYC
107,New York
108,USA
109,Los Angeles
110,NYC
111,USA
112,TBC
113,NY
114,New York
115,New York
116,New York
117,USA
118,New York + LA
119,NY
120,"Formentara, Spain"
121,NY
122,NY
123,NY + city TBD
124,NYC
125,NYC
126,TBC
127,"New York, San Francisco"
128,Brasil or El Salvador; TBD
129,New York
130,NY
131,New York (Soho)
132,New York
133,NY
134,New York
135,NY
136,LA
137,New York
138,TBC
139,New York
140,LA
141,NY+LA
142,New Jersey
143,"NY, LA, CHI, ATL, DC & MIA"
144,London + NY
145,New York
146,TBC (NYC or LA)
147,NY Soho Store
148,New York
149,New York
150,New Jersey
151,"Austin, Palm Springs, San Antonio, NYC (Central Park)"
152,New York
153,New York
154,New York
155,New York
156,NYC
157,NYC
158,USA
159,NY
160,New York
161,New York
162,TBD - Somewhere in USA
163,New York
164,TBC
165,TBC
166,TBC
167,
168,New York
169,NY & LA
170,New York
171,LA
172,New York
173,LES or lower manhattan but flexible
174,New York
175,New York
176,New York
177,New York
178,New York
179,LA
180,NYC (Brooklyn or Manhattan)
181,New York
182,LA + NYC
183,TBC
184,LA
185,New York
186,New York
187,New York
188,New York
189,New York
190,New York
191,New York
192,Worldwide
193,New York
194,TBC
195,USA
196,New York
197,Global - Upcoming events in Burgundy and Valencia
198,TBC
199,New York
200,Los Angeles
201,USA
202,TBC
203,USA
204,New York
205,TBC
206,New York
207,New York
208,New York
209,New York
210,New York
211,New York
212,Indiannapolis
213,New York
214,New York
215,USA
216,Toronto
217,New York
218,New York
219,LA
220,
221,New York
222,TBC
223,TBC
224,New York
225,New York
226,New York
227,Manhattan
228,New York
229,Minnesota
230,"Puglia, Italy"
231,"Lake Como, Italy"
232,TBC
233,TBC
234,New York
235,TBC
236,TBC
237,TBC
238,New York
239,TBC
240,New York
241,TBC
242,TBC
243,New York
244,"Fingerlakes, New York"
245,New York
246,TBC
247,New York
248,TBC
249,New York
250,TBC
251,TBC
252,New York
253,Miami
254,New York
255,TBC
256,New York
257,New York
258,TBC
259,New York
260,TBC
261,TBC
262,Austin
263,Austin
264,TBC
265,New York
266,New York
267,TBC
268,New York
269,Copenhagen
270,LA or NY
271,TBC
272,TBC
273,TBC
274,TBC
275,TBC
276,San Francisco
277,Los Angeles
278,TBC
279,TBC
280,TBC
281,"New York, Austin, Miami"
282,New York
283,New York
284,TBC
285,New York
286,Los Angeles
287,TBC
288,New York
289,TBC
290,TBC
291,Los Angeles
292,New York
293,New York
294,New York
295,Miami
296,TBC
297,New York
298,TBC
299,LDN
300,TBD
301,New York
302,Upstate NY
303,TBD
304,TBC Multi-City
305,New York
306,New York
307,"October, Utah"
308,New York
309,
310,TBD
311,TBC
312,New York
313,
314,
315,TBC
316,"NY, Boston, DC"
317,Todos Santos
318,New York
319,Los Angeles
320,Paris
321,New York
322,New York
323,TK
324,TK
325,N/a
326,TBD
327,TBD
328,TBD
329,TBD
330,TK
331,New York
332,TK
333,TBD
334,N/A- General 2024 Meet-and-Greet
335,"NY, September 25"
336,TK
337,Hamptons
338,TK
