external_id,project_date
1,02/XX/2026
2,2026
3,2026
4,03/XX/2026
5,2026
6,2026
7,2026
8,2026
9,2026
10,2026
11,2026
12,02/XX/2026
13,2026
14,1/12/26
15,5/X/26
16,02/X/2026
17,01/15/2026-03/15/2026
18,February 2026 TBC (Lunar New Year)
19,March/April 2026
20,March/April 2026
21,02/14/2026 + 2026
22,2026
23,02/26/2026
24,05/16/2026 and 06/xx/2026
25,02.10.2026 + 02.13.2026
26,2026
27,2026
28,2026
29,4.X.26
30,02/XX/2026
31,2026
32,Spring 2026
33,12/2/2025
34,12/2/2025
35,2026
36,04/XX/2026
37,09/xx/2026
38,TBC
39,Q3-Q4 2026
40,2026
41,2026
42,2026
43,2026
44,2026
45,2026
46,2026 planning
47,June 2026
48,05/xx/2026
49,2026
50,2026
51,September-December 2025
52,2/10/26
53,3/X/26
54,6/X/26
55,8/X/26
56,9/X/26
57,9/X/26
58,10/X/26
59,11/X/26
60,2026
61,2026
62,2026 planning
63,2026
64,2026
65,12/11/25
66,2025/2026
67,6/XX/26 
68,2026
69,2026
70,2026-2027
71,2026
72,2026
73,"June 19-26, 2026"
74,Q1 2026
75,December 2025 - December 2026
76,12/xx/2025
77,11/xx/2026
78,2026
79,Q3 2026
80,March 2026 + Spring 2026
81,Summer 2026
82,5/1/2026
83,TBC 2026
84,2026
85,2026
86,12/xx/2025
87,xx/xx/2026
88,12/4/2025
89,12/08/2025
90,2026
91,12/04/2025
92,9/1/2025
93,03/07/2026
94,12/xx/2025
95,2026
96,November & December 2025
97,11/21/2025 + December for Art Basel
98,2026 retainer
99,12/31/2025
100,Feb 2026
101,November & December 2025
102,2026
103,2026
104,12/18/2025
105,2026
106,11/20/2025
107,12/4/2025
108,01/xx/2026
109,11/24/2025
110,Spring 2026
111,11/13/2025
112,12/xx/2025
113,10/18/2025
114,11/09/2025-11/10/2025
115,02/xx/2026
116,10/24/2025
117,01/01/2026
118,12/18/2025
119,December 2025
120,06/X/2026
121,"12/4/2025; Backup dates: 12/2-12/10/2025
"
122,2025-2026
123,12/7/2025
124,April 2026
125,May 2026
126,2026
127,2026
128,April-August 2026
129,Ongoing
130,November 2025
131,October/November 2025
132,11/12/2025
133,10/08/25
134,Sept/Oct 2025
135,xx.xx.2025
136,4.X.26
137,12/16/2025
138,12/3/2025
139,10/06/2025
140,2026
141,November + December 2025
142,2026
143,11/9/2025
144,10/14/2025
145,10/6/2025
146,09/05/2025-09/07/2025
147,9/22/2025
148,10/15/2025
149,10/30/2025
150,Week of 11/03/2025 (before Thanksgiving)
151,November/December 2025
152,11/11/2025-11/22/2025
153,10/30/25
154,11/02/2025
155,12/xx/2025
156,Winter 2025  
157,05/11/2026
158,2025-2026
159,10/08/2025
160,2026
161,Mid-December 2025-January 2026
162,Winter 2025 (Before Thanksgiving)
163,Ongoing
164,2025-2026
165,2025-2026
166,N/A - Liquor Cabinet 
167,2026 Retainer
168,N/A
169,TBC
170,TBC
171,Fall 2025
172,Holiday 2025
173,9/10/2025
174,2025-2026
175,09/05/2025
176,9/9/2025
177,11/1/2025
178,6/7/2025
179,11/10/2025
180,TBC
181,October
182,10/6/25 + 10/13/25
183,TBC
184,2026
185,Jan 2026 + Spring 2026
186,7/27/2025
187,December 2025
188,10/30/2025
189,September/October 2025
190,TBC
191,10/22/25 & 10/23/2025
192,2025-2026
193,2025-2026
194,N/A - Liquor Cabinet 
195,TBC
196,8/7/2025
197,TBC
198,TBC
199,8/19/2025
200,10/25/2025
201,11/xx/2025
202,10/1/2025
203,September 2025
204,12/1/2025
205,6/1/2025
206,9/13/2025
207,12/11/2025
208,2025-2026
209,9/4/2025
210,9/10/2025
211,"July 9, 10, and/or 11"
212,07.18.25-07.20.25
213,2025-2026
214,7/23/2025
215,9/12/2025
216,9/8/2025
217,10/1/2025
218,
219,08/012025-10/31/2025
220,Retainer - 1/1/25 - 6/30/25
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,TBC
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,11/19/2024
298,11/13/2024
299,2025
300,
301,2025
302,10/22/2024
303,2025
304,2025
305,12/2/2025
306,
307,
308,10/1/2024
309,
310,2025
311,11/13/2024
312,October 2024
313,
314,
315,
316,11/15/2024
317,
318,
319,11/1/2024
320,9/25/2025
321,10/1/2024
322,August + September 2024
323,
324,
325,
326,
327,
328,
329,
330,
331,Summer 2024
332,
333,
334,
335,
336,
337,August 15 or 16
338,
339,
340,
341,
342,
343,
344,
345,9/1/2024
346,Summer 2024
347,May 2024
348,"September 18/19 or September 25/26., "
349,06.28.24
350,7/1/2024
351,
352,"Either of the first two weekends of October, likely 10/11 - 10/13, "
353,
354,
355,
356,
357,May/June 2024
358,8/1/2024
359,
360,Spring 2024
361,8/1/2024
362,
363,Summer 2024
