external_id,services
1,"[""Executive Production""]"
2,"[""Executive Production""]"
3,"[""Executive Production""]"
4,"[""Executive Production""]"
5,"[""Executive Production""]"
6,"[""Executive Production""]"
7,"[""Executive Production""]"
8,"[""Executive Production""]"
9,"[""Executive Production""]"
10,"[""Executive Production""]"
11,"[""Executive Production""]"
12,"[""Executive Production""]"
13,"[""Programming""]"
14,"[""Executive Production"", ""Event Concepting""]"
15,"[""Production""]"
16,"[""Programming"", ""Event Concepting"", ""Event Production""]"
17,"[""Gifting""]"
18,"[""Executive Production""]"
19,"[""Executive Production""]"
20,"[""Executive Production""]"
21,"[""Executive Production""]"
22,"[""Programming"", ""Event Concepting""]"
23,"[""Culinary Production""]"
24,"[""Executive Production""]"
25,"[""Executive Production""]"
26,"[""Executive Production""]"
27,"[""Executive Production""]"
28,"[""Executive Production""]"
29,"[""Executive Production"", ""Programming"", ""Executive Production"", ""Programming ""]"
30,"[""Creative Direction""]"
31,"[""Marketing""]"
32,"[""Event Concepting"", ""Executive Production""]"
33,"[""Executive Production""]"
34,"[""Executive Production""]"
35,"[""Executive Production""]"
36,"[""Executive Production""]"
37,"[""Event Concepting"", ""Executive Production""]"
38,"[""Executive Production""]"
39,"[""Event Concepting"", ""Executive Production"", ""Culinary Programming""]"
40,"[""Executive Production"", ""Programming"", ""Creative Direction""]"
41,"[""Executive Production""]"
42,"[""Executive Production""]"
43,"[""Programming"", ""Executive Production""]"
44,"[""""]"
45,"[""Executive Production""]"
46,"[""Executive Production""]"
47,"[""Executive Production""]"
48,"[""Executive Production""]"
49,"[""Executive Production""]"
50,"[""Executive Production""]"
51,"[""Event Concepting"", ""Executive Production""]"
52,"[""Executive Production""]"
53,"[""Executive Production""]"
54,"[""Executive Production""]"
55,"[""Executive Production""]"
56,"[""Executive Production""]"
57,"[""Executive Production""]"
58,"[""Executive Production""]"
59,"[""Executive Production""]"
60,"[""Executive Production""]"
61,"[""Executive Production""]"
62,"[""Executive Production""]"
63,"[""Executive Production""]"
64,"[""Executive Production""]"
65,"[""Executive Production""]"
66,"[""RSVP Management""]"
67,"[""Executive Production""]"
68,"[""Programming"", ""Programming ""]"
69,"[""Executive Production""]"
70,"[""Executive Production"", ""RSVP Management"", ""Talent Programming""]"
71,"[""Culinary Production""]"
72,"[""Executive Production""]"
73,"[""Programming"", ""Executive Production""]"
74,"[""Consulting""]"
75,"[""Marketing""]"
76,"[""Executive Production""]"
77,"[""RSVP Management""]"
78,"[""Executive Production""]"
79,"[""Event Concepting"", ""Executive Production""]"
80,"[""Executive Production""]"
81,"[""Executive Production""]"
82,"[""Executive Production""]"
83,"[""Executive Production""]"
84,"[""Executive Production""]"
85,"[""Executive Production""]"
86,"[""Executive Production""]"
87,"[""Executive Production""]"
88,"[""Production""]"
89,"[""Culinary Production""]"
90,"[""Executive Production""]"
91,"[""RSVP Management""]"
92,"[""Consulting""]"
93,"[""Executive Production""]"
94,"[""Executive Production""]"
95,"[""RSVP Management""]"
96,"[""Executive Production""]"
97,"[""Content Production"", ""Consulting""]"
98,"[""Executive Production""]"
99,"[""Creative Direction""]"
100,"[""Executive Production""]"
101,"[""Executive Production""]"
102,"[""Culinary Production""]"
103,"[""Executive Production""]"
104,"[""Executive Production""]"
105,"[""Executive Production""]"
106,"[""Culinary Production""]"
107,"[""Executive Production""]"
108,"[""Gifting""]"
109,"[""Executive Production""]"
110,"[""Marketing"", ""Gifting""]"
111,"[""Gifting""]"
112,"[""Executive Production""]"
113,"[""RSVP Management""]"
114,"[""Programming""]"
115,"[""Executive Production""]"
116,"[""Executive Production""]"
117,"[""Gifting""]"
118,"[""Executive Production""]"
119,"[""Executive Production""]"
120,"[""Executive Production""]"
121,"[""Executive Production""]"
122,"[""Executive Production""]"
123,"[""Executive Production""]"
124,"[""Executive Production""]"
125,"[""Executive Production""]"
126,"[""Executive Production""]"
127,"[""RSVP Management""]"
128,"[""Executive Production""]"
129,"[""Marketing""]"
130,"[""Executive Production""]"
