external_id,venue_spaces_array
0012f332-bf34-4ccd-b37e-2f8d324f00df,"8 (Bakers Table), 30 (Terrace)"
00293e19-399d-4e55-bba9-bccb10865e6b,"22 (Primo Mistro Room), 36 (Partial Buyout)"
02d45b7c-a14b-44e0-b66e-9420b223d2d0,10 (Cervantes Room)
06779c95-2f63-4b1e-a705-1cb796dc0df0,20 (Private Dining Room)
07c61f03-548f-47be-9298-2811a7eeb891,150 (Buyout)
07cfe613-f88d-4b24-998b-7c3de6697678,"30 (Edna Lewis Room), 20 (Dolphin Bar), 50 (Combined)"
0916cf6a-e3b5-4ca2-92cd-0c2f7ed08d6e,50 (Buyout)
0fd54a5e-3acd-46c1-9c56-a950b47ed848,"30 (Private Dining Room), 50 (Patio), 90 (Combined)"
112c1f0c-91d0-4923-93e6-525e0ff5b167,16 (Private Dining Room)
15b23b3d-a0c4-43ef-96aa-19653d049095,65 (Buyout)
17da4f73-04aa-4c84-be09-facc62c8b2f4,"15 (Chef's Table), 26 (Wine Cellar)"
1a703994-0551-4be5-a153-a7fe574102db,"18 (Bishop's Perch), 26 (East Room), 36 (The Nest), 44 (Cardinal's Quarters), 75 (West Room), 108 (Garden)"
1aa8d3b7-12df-4dcb-9c28-be1784f6baf6,14 (Private Dining Room)
1d70cf7a-59d6-4ac3-b087-c403ef4a1a7b,75 (Buyout)
20f41a13-d2b3-408b-87a1-1568ef6e5505,"20 (Casita), 40 (Semi-Private Lower Dining Room)"
22455a36-a3b3-4a10-a872-a2b03c56d4d2,"18 (Wine Shop), 40 (Main Dining Room), 50 (Back Patio)"
2392cefd-8f5a-41a0-b7d6-ab6b8dc82e2e,"8 (Alcove), 18 (Left Bank), 36 (Right Bank), 68 (Dining Room), 154 (Buyout)"
2703d5f1-c846-400a-9215-b14bacd34de4,50 (Private Dining Room)
2751ca74-bfd3-4856-bf4d-d58ccb9cb0ff,55 (Buyout)
27af5d2f-8dd8-4fbf-86b6-c2032cf6ed39,60 (Buyout)
2aeb546c-3f4b-4b11-b517-439b3d19619c,"40 (Wine Room), 70 (Garden), 120 (Main dining room)"
3235c333-696d-4e15-9415-6ef0a62d1974,"20 (Upper Deck, East Rose Ave patio), 28 (Rose Ave patio), 50 (beer garden), 200 (buyout)"
38d89040-e7e2-436d-88cf-8c8311fc7836,40  (Buyout)
3aae77c1-d661-4f0a-91cf-c5f622f68f4d,"32 (Interior Dining Room), 34 (Back Patio), 45 (Side Patio)"
